patient_id,0,1,2,3,4,5,6,7
patient33,1.3116221,1.5255187,1.2929665,0.8125986,1.2580296,0.9727407,0.9432511,1.3540655
patient36,0.65739554,0.73438275,0.60219955,1.9664842,0.74779177,0.6291052,1.8434836,0.67577857
patient38,1.2018716,1.362081,1.1111158,1.3756113,0.9069601,0.9641,1.2691679,0.9734878
patient39,1.7353015,2.0563986,1.4926829,1.1015263,1.1717457,1.5202262,1.6752623,1.2227643
patient40,1.2565802,1.4615107,1.1065593,1.6254025,0.87007236,1.1577526,1.6642034,0.96930087
patient41,0.9730557,1.1425632,0.8743275,1.5807024,0.8583211,0.9774616,1.4859197,1.0556238
patient44,0.948381,1.0989631,0.8796262,1.5300275,0.95022535,0.74276274,1.3240854,0.9350085
patient46,1.2540939,1.487484,1.0846719,1.225339,0.97134244,1.3633816,1.5450267,0.98162884
patient49,1.1324534,1.3087661,1.0452304,1.5380132,0.98292726,1.1366949,1.8659047,0.92298365
patient50,1.1087277,1.3583479,1.1487969,1.1769084,0.96720755,1.1596142,1.3110706,1.1500075
patient51,1.3487941,1.5073599,1.1994683,1.2721713,0.7978645,1.0108484,1.5426992,0.924288
patient52,1.6366686,1.8871816,1.5664966,1.6826036,1.1426554,1.6370671,1.7538445,1.3189857
patient53,1.6359063,1.9401509,1.5158721,1.2841063,1.2672948,1.3043056,1.5706702,1.3519943
patient54,1.0459465,1.2196063,0.9480667,1.118262,1.1136924,0.8079309,1.2577085,0.9291111
patient56,1.1399046,1.2414671,1.1411027,0.74805063,1.0658002,1.0728086,1.0402461,1.2297623
patient57,1.7731345,2.0640218,1.6276281,1.3393478,1.0826367,1.660512,1.6205151,1.3635362
patient58,0.93018466,1.1209805,0.8338854,1.3463048,0.7294944,0.9397271,1.5592642,0.82070273
patient59,1.2217321,1.37517,1.1208733,1.8533492,1.0307472,0.9097288,1.8987387,0.94179994
patient60,1.2077991,1.4526405,1.1199677,1.3646451,1.1213515,1.0755852,1.5686537,1.0276134
patient61,2.009889,2.2379007,1.776345,1.2564657,1.4173933,1.5059955,1.7254895,1.2139177
patient62,1.6599017,2.141196,1.7115613,1.6923612,1.4422402,1.2977191,1.8271239,1.6249169
patient64,0.7333623,0.9082147,0.6537876,1.8006494,0.6748076,0.8656344,1.8024534,0.7929893
patient65,1.177238,1.4006582,1.230396,1.1413273,1.0801294,1.095463,1.100128,1.2803524
patient66,1.3682402,1.6031543,1.3727728,1.3384441,1.2182022,1.2597567,1.5496953,1.3962269
patient67,1.1046697,1.519803,1.190938,1.4460462,1.0905322,1.1359931,1.5828782,1.1749355
patient70,1.180213,1.4915216,1.2333677,1.4573128,0.9976687,1.2309036,1.7236305,1.0671799
patient71,0.81521434,0.95412475,0.6791793,1.665859,0.81102777,0.8266081,1.5934814,0.84983385
patient72,1.446655,1.6968156,1.4434527,1.3963155,1.1827302,1.2770165,1.6364664,1.3466597
patient74,1.2992052,1.4221891,1.163762,1.3667817,1.0607775,1.0897995,1.3486172,1.2476608
patient75,0.8429936,0.8828434,0.7670599,1.2318946,0.7923406,0.846482,1.4413104,0.8285849
patient77,1.6827835,1.9182284,1.5858173,1.4377438,1.2641039,1.0329822,1.5498201,1.1430762
patient78,0.91750544,1.064076,0.8291931,1.3437403,0.8552302,1.0576347,1.3741018,0.98839945
patient80,1.3309427,1.4308035,1.1485217,0.97715485,0.86568815,1.1472441,1.3143919,0.99148464
patient81,0.89412916,1.0839342,0.88124216,1.0914326,0.99771476,0.69400984,1.0232422,0.966334
patient82,0.9134354,1.0522335,0.8779967,1.6848668,0.8774712,1.0596762,1.5562326,0.9445855
patient85,1.294318,1.4030726,1.0867145,1.5203824,0.83380294,1.0760167,1.5636145,0.99451554
patient86,0.6701721,0.8092757,0.6472942,2.072272,0.6795923,0.6732385,1.9248528,0.61939424
patient87,1.0971899,1.229742,0.9621582,1.3207648,0.794544,0.9075087,1.2883531,0.9549032
patient88,0.6202488,0.72641134,0.4999448,2.2851884,0.59206724,0.58923733,2.1537192,0.5802499
patient90,0.7429683,0.89393187,0.7045051,1.7804958,0.7095248,1.1519189,1.771262,0.6832154
patient91,0.72372407,0.88448477,0.66312915,1.696862,0.7062136,0.76763445,1.5423476,0.7424385
patient92,0.7523853,0.9237842,0.7272501,1.7449332,0.7697486,0.7730129,1.5173248,0.8200491
patient93,1.547481,1.7925297,1.4210496,1.6495118,0.9724682,1.4078206,1.7316959,1.1710362
patient94,0.85409105,1.0036672,0.8492163,1.5764765,0.87228096,0.8145469,1.4821424,0.92699575
patient97,0.7793068,0.8895695,0.64554214,2.0363572,0.70124817,0.79443234,1.8669692,0.8095722
patient99,0.7630186,0.82597494,0.7290722,1.6456391,0.67739123,0.78224313,1.3108374,0.7971832
patient100,1.2741337,1.3936249,1.1081132,0.92829674,0.9201287,1.0835651,1.4006141,0.883515
patient101,1.1892266,1.432343,1.1354122,1.0069529,0.9442607,1.0469091,1.2030603,1.1686835
