patient_id,0,1,2,3,4,5,6,7
patient238,0.68681777,0.8469033,0.66186357,2.0544517,0.667604,0.8897256,2.1994429,0.76465726
patient239,0.74237394,0.8957189,0.62429535,1.9496304,0.65161407,0.9451433,1.8336229,0.7299063
patient241,0.891281,0.98082453,0.78719294,1.8993249,0.78250724,0.9008636,1.8006406,0.9231978
patient242,0.6691682,0.79514843,0.5606814,2.403462,0.68142116,0.61782897,2.366367,0.6304139
patient243,0.7036238,0.869756,0.72411346,2.2746656,0.7078202,0.7408952,2.09858,0.6792195
patient244,0.90441865,1.0619239,0.9174812,1.2705125,0.96573025,0.6977595,1.1162095,0.9525737
patient246,1.395894,1.539559,1.276625,1.308126,0.83726555,1.0894288,1.4405348,1.1515809
patient250,0.82601947,0.9690097,0.69444907,2.3615422,0.8045975,0.8735067,2.2620738,0.8035267
patient251,0.7044717,0.7990106,0.6686723,1.8896639,0.71372586,0.7106101,1.7523122,0.68014586
patient254,1.1377658,1.3644912,1.0447608,1.1038177,0.890359,0.98680615,1.3670578,1.0413989
patient255,1.0172201,1.2025073,0.9443576,1.9680134,0.84860927,1.1794496,2.0264452,0.9210484
patient257,0.70235753,0.8388134,0.62620145,1.7950563,0.7606693,0.7382498,1.4896381,0.74726117
patient258,1.3543745,1.6215343,1.1156777,0.8734106,0.9137144,1.0727276,1.31302,0.9680917
patient259,0.761106,0.9684549,0.6203716,2.6025107,0.5584008,0.82744056,2.4286659,0.57288045
patient262,0.71662116,0.9236172,0.69672835,2.408628,0.81605005,0.9303551,2.2279952,0.7304953
patient263,0.59394425,0.7296523,0.4904237,2.5341465,0.61971784,0.5393867,2.4150817,0.57317704
patient264,0.64208037,0.8479002,0.58998483,2.469192,0.6937725,0.7435032,2.4222598,0.6099074
patient265,0.9693865,1.1458338,0.8914519,2.5340962,0.8518652,0.99737954,2.3566582,0.82246757
patient266,0.7969989,0.98606217,0.70467305,2.156356,0.75592417,0.8533437,1.927927,0.8670923
patient267,1.2251601,1.3458397,1.0607194,1.7171984,0.9114117,1.1823727,1.637732,1.0410523
patient268,0.90549344,1.0256443,0.7631448,1.915292,0.78894085,0.9700352,1.929697,0.84421015
patient270,0.72811866,0.7849827,0.58712614,2.0618763,0.73726743,0.69170606,2.318156,0.63682145
patient271,0.79010624,0.99415195,0.71016794,1.9438763,0.82655305,0.74206525,1.8609964,0.787803
patient272,0.84366804,1.1263418,0.8335515,2.1572495,0.86747354,0.7947801,2.2295942,0.80758256
patient273,1.1068163,1.3289937,0.9932794,1.5589767,0.7214649,1.1916876,1.7401114,0.9739502
patient274,0.6020958,0.71862525,0.5429378,2.1877356,0.655211,0.5771816,2.031147,0.67823404
patient275,0.76983076,0.9441549,0.6729237,2.2427182,0.5993355,0.9202579,2.0669322,0.7602805
patient276,1.0473428,1.3187275,1.0347998,1.3964872,0.8418273,1.0965284,1.5731854,0.8630887
patient279,0.95920664,1.2279896,0.8776747,2.1298485,0.8441864,1.0261668,2.05087,0.89147836
patient280,0.9333032,1.0722333,0.90892386,1.8528161,0.96070474,0.86002743,1.9329418,0.9199739
patient281,0.68232834,0.855532,0.6151207,2.5650845,0.6407974,1.1111324,2.4861581,0.7454339
patient282,0.8972357,0.9594299,0.78685176,1.4417226,0.8290459,0.73715436,1.4934572,0.9244852
patient283,0.79011333,0.97843605,0.73522526,1.8679721,0.7327714,0.7005889,1.5383496,0.7606051
patient285,0.9945566,1.4398116,1.0223097,1.8070456,0.80865127,0.99947983,1.6898508,0.9006434
patient286,1.040747,1.2681024,0.90081877,1.8803273,0.8855613,0.88376296,1.8944104,0.98591727
patient289,0.9048167,1.2005986,0.90431166,2.0102887,0.8051805,1.2325797,1.9693838,0.8966566
patient290,0.76701957,1.070249,0.73718,2.1280077,0.69709307,0.88276744,2.2093668,0.62671494
patient292,0.8554859,1.0364313,0.84439003,1.8951391,0.78535306,1.059293,1.8937293,0.8468437
patient293,0.71028125,0.8611936,0.63122946,2.2221584,0.6956074,0.73629016,2.2181547,0.62163913
patient295,1.3840407,1.7149224,1.2807475,1.0898179,1.0261768,1.1108279,1.544491,1.1788492
patient296,0.5675219,0.7279647,0.4672115,2.0965738,0.6472395,0.48412904,1.8008698,0.548943
